"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\ProctectedRoutes.tsx", "TypeScript JSX", 0, -10, 0, 0, 0, 0, 0, -3, -13
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\Routing.tsx", "TypeScript JSX", 0, -206, 0, 0, 0, 0, 0, -19, -225
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\api\ApiConstants.ts", "TypeScript", -51, 0, 0, 0, 0, 0, 0, -5, -56
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\axios\AxiosSetup.ts", "TypeScript", -8, 0, 0, 0, 0, 0, -27, -3, -38
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, -15, 0, 0, 0, 0, 0, -4, -19
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\components\Form.tsx", "TypeScript JSX", 0, -8, 0, 0, 0, 0, -11, -1, -20
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\components\Header.tsx", "TypeScript JSX", 0, -12, 0, 0, 0, 0, 0, -2, -14
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\components\ImageCapture.jsx", "JavaScript JSX", 0, 0, 0, -83, 0, 0, -4, -7, -94
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\components\NewNavbar.tsx", "TypeScript JSX", 0, -164, 0, 0, 0, 0, -2, -32, -198
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\main.tsx", "TypeScript JSX", 0, -12, 0, 0, 0, 0, 0, -1, -13
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\AddUser.tsx", "TypeScript JSX", 0, -262, 0, 0, 0, 0, -3, -23, -288
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\AppointmentReport.tsx", "TypeScript JSX", 0, -224, 0, 0, 0, 0, 0, -40, -264
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\Appointments.tsx", "TypeScript JSX", 0, -147, 0, 0, 0, 0, -2, -18, -167
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\LastMonth.tsx", "TypeScript JSX", 0, -191, 0, 0, 0, 0, -2, -14, -207
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\LastSixMonths.tsx", "TypeScript JSX", 0, -138, 0, 0, 0, 0, -3, -22, -163
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\LastWeek.tsx", "TypeScript JSX", 0, -150, 0, 0, 0, 0, -4, -26, -180
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, -83, 0, 0, 0, 0, -7, -8, -98
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\LoginReports.tsx", "TypeScript JSX", 0, -206, 0, 0, 0, 0, 0, -37, -243
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\NewVisitor.tsx", "TypeScript JSX", 0, -262, 0, 0, 0, 0, -5, -32, -299
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\Pass.tsx", "TypeScript JSX", 0, -122, 0, 0, 0, 0, -2, -36, -160
"c:\Users\Admin\Desktop\vms-Pass-Generation\frontend\src\pages\TodayEntries.tsx", "TypeScript JSX", 0, -141, 0, 0, 0, 0, -2, -24, -167
