"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\dto\create-visitor-appointment-generate.dto.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 6, 15, 49
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\dto\update-visitor-appointment-generate.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\entities\visitor-appointment-generate.entity.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 1, 21, 81
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\repo\appointment.repository.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.controller.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 6, 21
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.module.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.service.spec.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 8, 61, 90
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.service.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 3, 12, 45
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\tsconfig.build.json", "JSON", 3, 0, 0, 0, 0, 0, 2, 0, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 1, 23
"Total", "-", 9332, 25, 51, 1291, 22, 6, 79, 517, 11323
